,codigoEmenda,ano,tipoEmenda,autor,nomeAutor,numeroEmenda,localidadeDoGasto,funcao,subfuncao,valorEmpenhado,valorLiquidado,valorPago,valorRestoInscrito,valorRestoCancelado,valorRestoPago
22127,201931870005,2019,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0005,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,45.0,"0,00","0,00","45,00","0,00","45,00"
22220,202041750021,2020,Emenda Individual,TULIO GADELHA,TULIO GADELHA,0021,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,457545.0,"0,00","0,00","457.545,00","457.545,00","0,00"
22264,201630320008,2016,Emenda Individual,ADALBERTO CAVALCANTI,ADALBERTO CAVALCANTI,0008,PERNAMBUCO (UF),Saúde,Atenção básica,460437.0,"51.180,00","51.180,00","327.405,60","0,00","81.851,40"
22265,202039850003,2020,Emenda Individual,FERNANDO RODOLFO,FERNANDO RODOLFO,0003,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,460453.98,"9.485,73","9.485,73","570.287,60","2.514,63","329.134,27"
22327,202212180013,2022,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0013,PERNAMBUCO (UF),Educação,Ensino superior,468718.21,"0,00","0,00","937.436,42","0,00","0,00"
22357,201612180014,2016,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0014,PERNAMBUCO (UF),Cultura,Difusão cultural,47.0,"47,00","47,00","0,00","0,00","0,00"
22410,202037470001,2020,Emenda Individual,RICARDO TEOBALDO,RICARDO TEOBALDO,0001,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,474981.0,"474.981,00","474.981,00","0,00","0,00","0,00"
22431,201712180013,2017,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0013,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,477000.0,"0,00","0,00","12.000,00","0,00","465.000,00"
22477,201628850007,2016,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0007,PERNAMBUCO (UF),Direitos da cidadania,Assistência à criança e ao adolescente,479736.07,"0,00","0,00","0,00","0,00","479.736,07"
22528,202037670018,2020,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0018,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,481104.0,"0,00","0,00","481.104,00","0,00","481.104,00"
22544,202040500002,2020,Emenda Individual,OSSESIO SILVA,OSSESIO SILVA,0002,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",482590.0,"16,00","16,00","322.590,00","0,00","322.590,00"
22659,202225730003,2022,Emenda Individual,JARBAS VASCONCELOS,JARBAS VASCONCELOS,0003,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,488524.0,"299.991,00","299.991,00","302.272,32","0,00","74.793,68"
22778,202237670003,2022,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0003,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,488796.0,"45,00","45,00","38.796,00","0,00","38.796,00"
22851,201837260012,2018,Emenda Individual,MARINALDO ROSENDO,MARINALDO ROSENDO,0012,PERNAMBUCO (UF),Assistência social,Alimentação e nutrição,492610.89,"0,00","0,00","0,00","24.994,45","467.616,44"
22918,201727180001,2017,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0001,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,495850.0,"0,00","0,00","245.850,00","245.850,00","4.150,00"
22940,202037600014,2020,Emenda Individual,SEBASTIAO OLIVEIRA,SEBASTIAO OLIVEIRA,0014,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,496827.85,"259.698,38","1.891,57","494.944,00","0,00","494.928,56"
22963,202237670012,2022,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0012,PERNAMBUCO (UF),Educação,Ensino superior,497563.95,"406.614,87","0,00","498.941,49","0,00","496.186,41"
22965,202324560013,2023,Emenda Individual,EDUARDO DA FONTE,EDUARDO DA FONTE,0013,PERNAMBUCO (UF),Educação,Assistência hospitalar e ambulatorial,497715.0,"0,00","0,00","0,00","0,00","0,00"
22968,201837260002,2018,Emenda Individual,MARINALDO ROSENDO,MARINALDO ROSENDO,0002,PERNAMBUCO (UF),Educação,Educação básica,497840.0,"141.036,00","141.036,00","356.804,00","0,00","0,00"
23011,201838080001,2018,Emenda Individual,JARBAS VASCONCELOS,JARBAS VASCONCELOS,0001,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,498598.66,"238.333,00","238.333,00","21.731,70","2.100,00","258.165,66"
23034,201930800022,2019,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0022,PERNAMBUCO (UF),Saúde,Atenção básica,498923.0,"0,00","0,00","798.211,00","0,00","199.635,00"
23147,201923920012,2019,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0012,PERNAMBUCO (UF),Educação,Educação básica,499615.55,"0,00","0,00","829.938,20","0,00","169.292,90"
23171,202235390006,2022,Emenda Individual,LUCIANO BIVAR,LUCIANO BIVAR,0006,PERNAMBUCO (UF),Educação,Educação básica,499695.05,"0,00","0,00","999.390,10","0,00","0,00"
23243,201927180012,2019,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0012,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,499837.0,"499.837,00","499.837,00","0,00","0,00","0,00"
23264,202031870004,2020,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0004,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,499869.0,"156.968,00","156.968,00","342.901,00","0,00","342.901,00"
23272,202240500009,2022,Emenda Individual,OSSESIO SILVA,OSSESIO SILVA,0009,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,499876.0,"189.150,00","0,00","565.397,75","0,00","434.354,25"
23371,202324560014,2023,Emenda Individual,EDUARDO DA FONTE,EDUARDO DA FONTE,0014,PERNAMBUCO (UF),Educação,Ensino superior,499949.72,"75.000,00","5,00","0,00","0,00","0,00"
23374,201931870006,2019,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0006,PERNAMBUCO (UF),Saúde,Atenção básica,499950.0,"499.950,00","499.950,00","0,00","0,00","0,00"
23386,201937890010,2019,Emenda Individual,FERNANDO BEZERRA COELHO,FERNANDO BEZERRA COELHO,0010,PERNAMBUCO (UF),Educação,Ensino profissional,499952.0,"0,00","0,00","499.952,00","0,00","499.952,00"
23491,202024560002,2020,Emenda Individual,EDUARDO DA FONTE,EDUARDO DA FONTE,0002,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,499982.0,"0,00","0,00","499.982,00","0,00","499.982,00"
23527,201828850012,2018,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0012,PERNAMBUCO (UF),Saúde,Atenção básica,499990.0,"25,00","25,00","249.990,00","0,00","0,00"
23537,201728840004,2017,Emenda Individual,ARMANDO MONTEIRO,ARMANDO MONTEIRO,0004,PERNAMBUCO (UF),Saúde,Atenção básica,499992.0,"0,00","0,00","0,00","0,00","499.992,00"
23561,202241750008,2022,Emenda Individual,TULIO GADELHA,TULIO GADELHA,0008,PERNAMBUCO (UF),Agricultura,Difusão do conhecimento científico e tecnológico,499995.31,"26.168,35","26.168,35","478.995,56","0,18","468.658,18"
23571,201828850013,2018,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0013,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,499997.0,"499.997,00","499.997,00","0,00","0,00","0,00"
23634,201836860005,2018,Emenda Individual,JOAO FERNANDO COUTINHO,JOAO FERNANDO COUTINHO,0005,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,499999.05,"1.400,00","1.400,00","10.831,93","8.315,07","490.283,98"
23661,201837470009,2018,Emenda Individual,RICARDO TEOBALDO,RICARDO TEOBALDO,0009,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,499999.38,"3.500,00","3.500,00","71.094,00","0,00","460.952,38"
23677,201831870014,2018,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0014,PERNAMBUCO (UF),Comércio e serviços,Turismo,499999.38,"3.500,00","3.500,00","349.671,39","111.280,99","35.547,00"
23687,201830800006,2018,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0006,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,499999.38,"1.400,00","1.400,00","31.520,33","460.952,38","6.126,67"
23735,201837670008,2018,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0008,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,499999.38,"0,00","0,00","485.102,24","0,00","14.897,14"
23800,202024560007,2020,Emenda Individual,EDUARDO DA FONTE,EDUARDO DA FONTE,0007,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,50.0,"0,00","0,00","50,00","192.490,00","307.510,00"
23877,201937600001,2019,Emenda Individual,SEBASTIAO OLIVEIRA,SEBASTIAO OLIVEIRA,0001,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,50.0,"50,00","50,00","0,00","0,00","0,00"
24007,201927230022,2019,Emenda Individual,LUCIANA SANTOS,LUCIANA SANTOS,0022,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,50.0,"0,00","0,00","890.588,24","0,00","109.411,76"
24008,201927230019,2019,Emenda Individual,LUCIANA SANTOS,LUCIANA SANTOS,0019,PERNAMBUCO (UF),Educação,Educação básica,50.0,"0,00","0,00","100,00","0,00","0,00"
24014,201927230011,2019,Emenda Individual,LUCIANA SANTOS,LUCIANA SANTOS,0011,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,50.0,"0,00","0,00","50,00","50,00","0,00"
24039,202012180012,2020,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0012,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,500000.0,"4.200,00","4.200,00","742.410,00","0,00","249.190,00"
24040,202012180010,2020,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0010,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,500000.0,"0,00","0,00","500.000,00","0,00","500.000,00"
24042,202012180008,2020,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0008,PERNAMBUCO (UF),Urbanismo,Transportes coletivos urbanos,500000.0,"0,00","0,00","783.432,00","238.856,00","0,00"
24049,202024570003,2020,Emenda Individual,RAUL HENRY,RAUL HENRY,0003,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,500000.0,"10.369,34","10.369,34","1.926.118,65","0,00","8.142,67"
24075,202027240012,2020,Emenda Individual,PASTOR EURICO,PASTOR EURICO,0012,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,50.0,"0,00","0,00","50,00","0,00","50,00"
24077,201912180007,2019,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0007,PERNAMBUCO (UF),Assistência social,Assistência comunitária,50.0,"15,00","15,00","35,00","0,00","35,00"
24161,202041500015,2020,Emenda Individual,JOAO H. CAMPOS,JOAO H. CAMPOS,0015,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,50.0,"0,00","0,00","537.792,00","0,00","481.104,00"
24163,201932990007,2019,Emenda Individual,MENDONCA FILHO,MENDONCA FILHO,0007,PERNAMBUCO (UF),Educação,Ensino superior,50.0,"50,00","50,00","0,00","0,00","0,00"
24319,201937670017,2019,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0017,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,500000.0,"500.000,00","500.000,00","0,00","0,00","0,00"
24323,202027180011,2020,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0011,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,500000.0,"0,00","0,00","500.000,00","129.707,46","370.292,54"
24327,202031870020,2020,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0020,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,500000.0,"2.100,00","2.100,00","994.400,00","0,00","1.400,00"
24329,202027180020,2020,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0020,PERNAMBUCO (UF),Comércio e serviços,Turismo,500000.0,"4.900,00","4.900,00","497.967,49","0,00","492.232,51"
24330,202031870018,2020,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0018,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,50.0,"0,00","0,00","537.792,00","0,00","481.104,00"
24338,202031870009,2020,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0009,PERNAMBUCO (UF),Urbanismo,Ordenamento territorial,50.0,"0,00","0,00","537.792,00","481.104,00","0,00"
24339,202031870008,2020,Emenda Individual,FELIPE CARRERAS,FELIPE CARRERAS,0008,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,50.0,"0,00","0,00","543.984,66","0,00","456.015,34"
24427,201937470003,2019,Emenda Individual,RICARDO TEOBALDO,RICARDO TEOBALDO,0003,PERNAMBUCO (UF),Saúde,Atenção básica,500000.0,"500.000,00","500.000,00","0,00","0,00","0,00"
24429,202037600013,2020,Emenda Individual,SEBASTIAO OLIVEIRA,SEBASTIAO OLIVEIRA,0013,PERNAMBUCO (UF),Comércio e serviços,Turismo,500000.0,"10.821,70","10.821,70","492.045,79","191.084,80","295.226,01"
24430,201927210013,2019,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0013,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,500000.0,"0,00","0,00","545.000,00","0,00","477.500,00"
24460,201927240005,2019,Emenda Individual,PASTOR EURICO,PASTOR EURICO,0005,PERNAMBUCO (UF),Gestão ambiental,Recursos hídricos,500000.0,"10.000,00","10.000,00","659.878,65","0,00","320.121,35"
24478,201936860023,2019,Emenda Individual,JOAO FERNANDO COUTINHO,JOAO FERNANDO COUTINHO,0023,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,500000.0,"0,00","0,00","500.000,00","17.035,44","482.964,56"
24679,202028850025,2020,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0025,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,500000.0,"0,00","0,00","500.000,00","0,00","500.000,00"
24754,201524570003,2015,Emenda Individual,RAUL HENRY,RAUL HENRY,0003,PERNAMBUCO (UF),Educação,Educação básica,500000.0,"0,00","0,00","0,00","250.000,00","250.000,00"
24755,201524570004,2015,Emenda Individual,RAUL HENRY,RAUL HENRY,0004,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,500000.0,"0,00","0,00","0,00","491.700,00","8.300,00"
24767,201532990007,2015,Emenda Individual,MENDONCA FILHO,MENDONCA FILHO,0007,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,500000.0,"0,00","0,00","0,00","0,00","500.000,00"
25028,201627170006,2016,Emenda Individual,ANDERSON FERREIRA,ANDERSON FERREIRA,0006,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,500000.0,"0,00","0,00","0,00","487.500,00","12.500,00"
25205,201727180004,2017,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0004,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,500000.0,"0,00","0,00","63.317,32","29.576,45","407.106,23"
25324,201630800008,2016,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0008,PERNAMBUCO (UF),Educação,Ensino superior,500000.0,"17.167,91","17.167,91","0,00","477.125,80","5.706,29"
25396,201727190012,2017,Emenda Individual,DANILO CABRAL,DANILO CABRAL,0012,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,500000.0,"0,00","0,00","10.062,50","0,00","500.000,00"
25397,S/I,2014,Emenda Individual,Sem informação,Sem informação,S/I,PERNAMBUCO (UF),Ciência e Tecnologia,Tecnologia da informação,500000.0,"0,00","0,00","0,00","250.000,00","250.000,00"
25404,201628850001,2016,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0001,PERNAMBUCO (UF),Educação,Ensino superior,500000.0,"500.000,00","0,00","0,00","0,00","500.000,00"
25429,201624560003,2016,Emenda Individual,EDUARDO DA FONTE,EDUARDO DA FONTE,0003,PERNAMBUCO (UF),Educação,Ensino superior,50.0,"50,00","0,00","0,00","0,00","50,00"
25535,201737890008,2017,Emenda Individual,FERNANDO BEZERRA COELHO,FERNANDO BEZERRA COELHO,0008,PERNAMBUCO (UF),Saúde,Atenção básica,50.0,"0,00","0,00","0,00","0,00","50,00"
25539,201623920007,2016,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0007,PERNAMBUCO (UF),Educação,Ensino superior,50.0,"0,00","0,00","25,00","0,00","25,00"
25651,202324560012,2023,Emenda Individual,EDUARDO DA FONTE,EDUARDO DA FONTE,0012,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,50.0,"0,00","0,00","0,00","0,00","0,00"
25653,202323920004,2023,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0004,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,50.0,"50,00","50,00","0,00","0,00","0,00"
25654,202324560010,2023,Emenda Individual,EDUARDO DA FONTE,EDUARDO DA FONTE,0010,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,50.0,"0,00","0,00","0,00","0,00","0,00"
25696,202340440008,2023,Emenda Individual,MARILIA ARRAES,MARILIA ARRAES,0008,PERNAMBUCO (UF),Assistência social,Assistência comunitária,500000.0,"400.000,00","400.000,00","0,00","0,00","0,00"
25767,201728850002,2017,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0002,PERNAMBUCO (UF),Urbanismo,Assistência comunitária,500000.0,"34.405,39","20.442,39","10.192,61","1.350,00","468.015,00"
25786,201923920009,2019,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0009,PERNAMBUCO (UF),Comércio e serviços,Turismo,500000.0,"0,00","0,00","694.085,00","0,00","305.915,00"
25787,201923920008,2019,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0008,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,500000.0,"0,00","0,00","509.450,00","0,00","490.550,00"
25815,201823920007,2018,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0007,PERNAMBUCO (UF),Educação,Ensino superior,500000.0,"0,00","0,00","388.455,00","0,00","111.545,00"
25911,201837670004,2018,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0004,PERNAMBUCO (UF),Ciência e Tecnologia,Desenvolvimento científico,50.0,"0,00","0,00","0,00","50,00","0,00"
25959,201737470007,2017,Emenda Individual,RICARDO TEOBALDO,RICARDO TEOBALDO,0007,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,50.0,"0,00","0,00","0,00","0,00","50,00"
26049,201836860007,2018,Emenda Individual,JOAO FERNANDO COUTINHO,JOAO FERNANDO COUTINHO,0007,PERNAMBUCO (UF),Saúde,Saneamento básico urbano,500000.0,"0,00","0,00","0,00","500.000,00","0,00"
26065,201737000002,2017,Emenda Individual,KAIO MANICOBA,KAIO MANICOBA,0002,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,50.0,"0,00","0,00","0,00","50,00","0,00"
26071,201737000005,2017,Emenda Individual,KAIO MANICOBA,KAIO MANICOBA,0005,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,50.0,"0,00","0,00","0,00","25,00","25,00"
26074,201737000012,2017,Emenda Individual,KAIO MANICOBA,KAIO MANICOBA,0012,PERNAMBUCO (UF),Saúde,Administração geral,50.0,"10,00","10,00","0,00","0,00","40,00"
26084,201827210022,2018,Emenda Individual,JORGE CORTE REAL,JORGE CORTE REAL,0022,PERNAMBUCO (UF),Trabalho,Fomento ao trabalho,50.0,"0,00","0,00","0,00","50,00","0,00"
26101,201830530011,2018,Emenda Individual,BETINHO GOMES,BETINHO GOMES,0011,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,500000.0,"0,00","0,00","0,00","105.924,51","394.075,49"
26149,201727230017,2017,Emenda Individual,LUCIANA SANTOS,LUCIANA SANTOS,0017,PERNAMBUCO (UF),Ciência e Tecnologia,Desenvolvimento tecnológico e engenharia,500000.0,"0,00","0,00","0,00","0,00","500.000,00"
26262,201828840004,2018,Emenda Individual,ARMANDO MONTEIRO,ARMANDO MONTEIRO,0004,PERNAMBUCO (UF),Educação,Educação básica,50.0,"0,00","0,00","50,00","0,00","0,00"
26378,201927180009,2019,Emenda Individual,AUGUSTO COUTINHO,AUGUSTO COUTINHO,0009,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,500000.0,"0,00","0,00","663.655,99","0,00","336.344,01"
26423,201737260009,2017,Emenda Individual,MARINALDO ROSENDO,MARINALDO ROSENDO,0009,PERNAMBUCO (UF),Comércio e serviços,Turismo,500000.0,"0,00","0,00","12.500,00","243.750,00","243.750,00"
26424,201737260010,2017,Emenda Individual,MARINALDO ROSENDO,MARINALDO ROSENDO,0010,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,500000.0,"0,00","0,00","0,00","0,00","500.000,00"
26518,201733870007,2017,Emenda Individual,WOLNEY QUEIROZ,WOLNEY QUEIROZ,0007,PERNAMBUCO (UF),Saúde,Administração geral,500000.0,"0,00","0,00","0,00","0,00","500.000,00"
26550,202135390003,2021,Emenda Individual,LUCIANO BIVAR,LUCIANO BIVAR,0003,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,50.0,"50,00","50,00","0,00","0,00","0,00"
26632,202125730002,2021,Emenda Individual,JARBAS VASCONCELOS,JARBAS VASCONCELOS,0002,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,500000.0,"500.000,00","500.000,00","0,00","0,00","0,00"
26634,202228850022,2022,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0022,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,500000.0,"0,00","0,00","981.104,00","0,00","18.896,00"
26635,202228850020,2022,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0020,PERNAMBUCO (UF),Encargos especiais,Outras transferências,500000.0,"0,00","0,00","500.000,00","0,00","500.000,00"
26666,202128850014,2021,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0014,PERNAMBUCO (UF),Encargos especiais,Outras transferências,500000.0,"500.000,00","500.000,00","0,00","0,00","0,00"
26670,202128850003,2021,Emenda Individual,HUMBERTO COSTA,HUMBERTO COSTA,0003,PERNAMBUCO (UF),Segurança pública,Policiamento,500000.0,"0,00","0,00","1.039.645,00","0,00","460.355,00"
26706,202212180008,2022,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0008,PERNAMBUCO (UF),Urbanismo,infra-estrutura urbana,50.0,"0,00","0,00","996.290,00","0,00","3.710,00"
26710,202112180008,2021,Emenda Individual,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0008,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,50.0,"0,00","0,00","1.238.750,00","0,00","261.250,00"
26725,202140500015,2021,Emenda Individual,OSSESIO SILVA,OSSESIO SILVA,0015,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,500000.0,"0,00","0,00","1.174.282,73","0,00","325.717,27"
26783,202138130009,2021,Emenda Individual,FERNANDO MONTEIRO,FERNANDO MONTEIRO,0009,PERNAMBUCO (UF),Transporte,Transporte rodoviário,500000.0,"0,00","0,00","1.000.000,00","0,00","500.000,00"
26785,202123920005,2021,Emenda Individual,FERNANDO COELHO FILHO,FERNANDO COELHO FILHO,0005,PERNAMBUCO (UF),Encargos especiais,Outras transferências,500000.0,"500.000,00","500.000,00","0,00","0,00","0,00"
26853,202124560012,2021,Emenda Individual,EDUARDO DA FONTE,EDUARDO DA FONTE,0012,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,50.0,"0,00","0,00","100,00","22,93","499.977,07"
26854,202124560009,2021,Emenda Individual,EDUARDO DA FONTE,EDUARDO DA FONTE,0009,PERNAMBUCO (UF),Transporte,Transporte rodoviário,50.0,"0,00","0,00","100,00","0,00","50,00"
26934,202137600005,2021,Emenda Individual,SEBASTIAO OLIVEIRA,SEBASTIAO OLIVEIRA,0005,PERNAMBUCO (UF),Educação,Ensino superior,500000.0,"0,00","0,00","1.030.000,00","0,00","470.000,00"
26950,202140690004,2021,Emenda Individual,SILVIO COSTA FILHO,SILVIO COSTA FILHO,0004,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",500000.0,"0,00","0,00","1.500.000,00","0,00","0,00"
26972,202137670007,2021,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0007,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",50.0,"0,00","0,00","1.425.986,84","0,00","74.013,16"
26998,202141750013,2021,Emenda Individual,TULIO GADELHA,TULIO GADELHA,0013,PERNAMBUCO (UF),Agricultura,Promoção da produção agropecuária,50.0,"0,00","0,00","100,00","0,00","50,00"
26999,202141750014,2021,Emenda Individual,TULIO GADELHA,TULIO GADELHA,0014,PERNAMBUCO (UF),Educação,Ensino superior,50.0,"0,00","0,00","1.293.768,21","0,00","206.231,79"
27000,202141750017,2021,Emenda Individual,TULIO GADELHA,TULIO GADELHA,0017,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,500000.0,"500.000,00","500.000,00","0,00","0,00","0,00"
27001,202141750020,2021,Emenda Individual,TULIO GADELHA,TULIO GADELHA,0020,PERNAMBUCO (UF),Saúde,Formação de recursos humanos,500000.0,"0,00","0,00","1.100.000,00","0,00","400.000,00"
27003,202141750024,2021,Emenda Individual,TULIO GADELHA,TULIO GADELHA,0024,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",500000.0,"0,00","0,00","1.000.000,00","0,00","500.000,00"
27012,202240690005,2022,Emenda Individual,SILVIO COSTA FILHO,SILVIO COSTA FILHO,0005,PERNAMBUCO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos",500000.0,"0,00","0,00","1.000.000,00","0,00","0,00"
27018,202237670010,2022,Emenda Individual,TADEU ALENCAR,TADEU ALENCAR,0010,PERNAMBUCO (UF),Encargos especiais,Outras transferências,50.0,"50,00","50,00","0,00","0,00","0,00"
27033,202241750022,2022,Emenda Individual,TULIO GADELHA,TULIO GADELHA,0022,PERNAMBUCO (UF),Educação,Ensino superior,50.0,"0,00","0,00","100,00","0,00","0,00"
27205,201827230008,2018,Emenda Individual,LUCIANA SANTOS,LUCIANA SANTOS,0008,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,51.0,"0,00","0,00","0,00","51,00","0,00"
27238,201730800006,2017,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0006,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,514270.0,"0,00","0,00","0,00","0,00","514.270,00"
27279,201837000003,2018,Emenda Individual,KAIO MANICOBA,KAIO MANICOBA,0003,PERNAMBUCO (UF),Desporto e lazer,Desporto comunitário,519999.42,"0,00","0,00","48.620,00","469.279,42","2.100,00"
27324,201627230012,2016,Emenda Individual,LUCIANA SANTOS,LUCIANA SANTOS,0012,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,523847.0,"0,00","0,00","0,00","0,00","523.847,00"
27328,202330800002,2023,Emenda Individual,DANIEL COELHO,DANIEL COELHO,0002,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,524756.0,"0,00","0,00","0,00","0,00","0,00"
